Symbol,Timeframe,BootstrapCount,WarmupCount,BackfillCount,GenuineLiveCount,PartialCount,IntegrityStatus
BTC/USDT,M5,18,2,0,3,10,PASSED
BTC/USDT,M15,9,1,0,1,10,PASSED
BTC/USDT,H1,4,1,0,0,10,PASSED
ETH/USDT,M5,18,2,0,3,10,PASSED
ETH/USDT,M15,9,1,0,1,10,PASSED
ETH/USDT,H1,4,1,0,0,10,PASSED
SOL/USDT,M5,18,2,0,3,10,PASSED
SOL/USDT,M15,9,1,0,1,10,PASSED
SOL/USDT,H1,4,1,0,0,10,PASSED
BNB/USDT,M5,18,2,0,3,10,PASSED
BNB/USDT,M15,9,1,0,1,10,PASSED
BNB/USDT,H1,4,1,0,0,10,PASSED
XRP/USDT,M5,18,2,0,3,10,PASSED
XRP/USDT,M15,9,1,0,1,10,PASSED
XRP/USDT,H1,4,1,0,0,10,PASSED
ADA/USDT,M5,18,2,0,3,10,PASSED
ADA/USDT,M15,9,1,0,1,10,PASSED
ADA/USDT,H1,4,1,0,0,10,PASSED
DOGE/USDT,M5,18,2,0,3,10,PASSED
DOGE/USDT,M15,9,1,0,1,10,PASSED
DOGE/USDT,H1,4,1,0,0,10,PASSED
AVAX/USDT,M5,18,2,0,3,10,PASSED
AVAX/USDT,M15,9,1,0,1,10,PASSED
AVAX/USDT,H1,4,1,0,0,10,PASSED
DOT/USDT,M5,18,2,0,3,10,PASSED
DOT/USDT,M15,9,1,0,1,10,PASSED
DOT/USDT,H1,4,1,0,0,10,PASSED
MATIC/USDT,M5,18,2,0,3,10,PASSED
MATIC/USDT,M15,9,1,0,1,10,PASSED
MATIC/USDT,H1,4,1,0,0,10,PASSED
