Symbol,ExchangeSymbol,Status,StreamStatus,TickSize,StepSize,MinQuantity,MinNotional,StaleIncidents,Reconnects
BTC/USDT,BTCUSDT,ACTIVE,HEALTHY,0.1,0.001,0.001,5.0,0,0
ETH/USDT,ETHUSDT,ACTIVE,HEALTHY,0.01,0.01,0.01,5.0,0,0
SOL/USDT,SOLUSDT,ACTIVE,HEALTHY,0.01,0.1,0.1,5.0,0,0
BNB/USDT,BNBUSDT,ACTIVE,HEALTHY,0.01,0.01,0.01,5.0,0,0
XRP/USDT,XRPUSDT,ACTIVE,HEALTHY,0.0001,1.0,1.0,5.0,0,0
ADA/USDT,ADAUSDT,ACTIVE,HEALTHY,0.0001,1.0,1.0,5.0,0,0
DOGE/USDT,DOGEUSDT,ACTIVE,HEALTHY,0.0001,1.0,10.0,5.0,0,0
AVAX/USDT,AVAXUSDT,ACTIVE,HEALTHY,0.01,0.1,0.1,5.0,0,0
DOT/USDT,DOTUSDT,ACTIVE,HEALTHY,0.01,0.1,0.1,5.0,0,0
MATIC/USDT,POLUSDT,ACTIVE,HEALTHY,0.0001,1.0,1.0,5.0,0,0
