Symbol,M5CandlesClosed,M15CandlesClosed,H1CandlesClosed,WarmupStatus,DataQualityScore,StatusReason
BTC/USDT,20,10,5,WARMED_UP,1.00,ACTIVE
ETH/USDT,20,10,5,WARMED_UP,1.00,ACTIVE
SOL/USDT,20,10,5,WARMED_UP,1.00,ACTIVE
BNB/USDT,20,10,5,WARMED_UP,1.00,ACTIVE
XRP/USDT,20,10,5,WARMED_UP,1.00,ACTIVE
ADA/USDT,20,10,5,WARMED_UP,1.00,ACTIVE
DOGE/USDT,20,10,5,WARMED_UP,1.00,ACTIVE
AVAX/USDT,20,10,5,WARMED_UP,1.00,ACTIVE
DOT/USDT,20,10,5,WARMED_UP,1.00,ACTIVE
MATIC/USDT,20,10,5,WARMED_UP,1.00,POL Migration Mapped
